Iteration,Entropy Level,Input Size,Entropy,Compression Time (s),Compression Rate,Dictionary Size
1,9,458849,6.554432659186165,0.11420798301696777,0.9922262007762902,65536
2,9,126041,6.5541365869724295,0.037832021713256836,1.0543394609690497,65536
3,1,703308,2.9669065498218486e-05,0.2712240219116211,0.0023225955058096878,1443
4,7,442515,5.370737525256176,0.10377383232116699,0.8037015694383242,65536
5,4,330601,2.584951529630243,0.0656270980834961,0.3844464609800363,63804
6,9,511691,6.554441632074391,0.1264052391052246,0.989483887736935,65536
7,2,408773,0.9999985924867355,0.06759190559387207,0.1624862698857312,33465
8,7,438027,5.52682985451483,0.1047518253326416,0.8329486538501051,65536
9,3,68257,1.999987718264792,0.01366567611694336,0.31058808016877637,12369
10,1,319852,6.168395934480385e-05,0.09223222732543945,0.0034476883058414515,1057
11,8,397419,6.554377130989397,0.09958577156066895,0.996192934912523,65536
12,4,552138,2.5849424910907666,0.10500407218933105,0.36918668883503764,65536
13,8,148341,6.5541603576451255,0.04315805435180664,1.0414517901321954,65536
14,5,192356,3.246292691221605,0.04157590866088867,0.5035870989207512,48689
15,6,475239,4.4985458454415665,0.10502409934997559,0.6610610661162067,65536
16,2,621328,0.9999906912362784,0.10238885879516602,0.15564725877475344,48609
17,6,940180,4.397814308827128,0.2115490436553955,0.6308238847880193,65536
18,7,641186,5.461558417164187,0.15059113502502441,0.8130370906414052,65536
19,1,398802,5.0270576254466784e-05,0.12776803970336914,0.0030858044844308706,1150
20,7,689604,5.7474857310880205,0.16173720359802246,0.8600820180857419,65536
21,8,367128,6.554441004474488,0.09468293190002441,0.9977664465799394,65536
22,8,643666,6.554493690169299,0.15755295753479004,0.9852438997865353,65536
23,2,677064,0.9999937183071672,0.11212801933288574,0.1543428686209871,52505
24,6,347816,4.101675817238852,0.07756304740905762,0.6134105389056282,65536
25,1,802626,2.6235211054339284e-05,0.3175673484802246,0.0021739577337390016,1524
26,2,734476,0.9999999329057399,0.12546396255493164,0.15313230112352208,56491
27,7,486269,5.699484299320907,0.11785316467285156,0.8587427946260198,65536
28,4,911251,2.5849592620747566,0.1689760684967041,0.3603511659807956,65536
29,3,690180,1.9999872451608725,0.12343597412109375,0.28282187255498564,65536
30,4,708599,2.58495318672692,0.13280200958251953,0.3641923911724278,65536
31,9,762476,6.554499515624705,0.18514680862426758,0.9825909274521427,65536
32,6,915331,3.776074205934083,0.1886281967163086,0.5419984683136483,65536
